"mState.Providence","Country.Region","population"
"Honolulu County, HI","United States",998714
"Kalawao County, HI","United States",89
"Kauai County, HI","United States",71735
"Maui County, HI","United States",164637
"Ada County, ID","United States",434211
"Adams County, ID","United States",3843
"Bannock County, ID","United States",83744
"Bear Lake County, ID","United States",5922
"Benewah County, ID","United States",9052
"Bingham County, ID","United States",44990
"Blaine County, ID","United States",21592
"Boise County, ID","United States",7058
"Bonner County, ID","United States",41859
"Bonneville County, ID","United States",110089
"Boundary County, ID","United States",11318
"Butte County, ID","United States",2501
"Camas County, ID","United States",1066
"Canyon County, ID","United States",207478
"Caribou County, ID","United States",6770
"Cassia County, ID","United States",23506
"Clark County, ID","United States",880
"Clearwater County, ID","United States",8496
"Custer County, ID","United States",4087
"Elmore County, ID","United States",25876
"Franklin County, ID","United States",13074
"Fremont County, ID","United States",12819
"Gem County, ID","United States",16852
"Gooding County, ID","United States",15284
"Idaho County, ID","United States",16272
"Jefferson County, ID","United States",27157
"Jerome County, ID","United States",22814
"Kootenai County, ID","United States",150346
"Latah County, ID","United States",38778
"Lemhi County, ID","United States",7735
"Lewis County, ID","United States",3789
"Lincoln County, ID","United States",5297
"Madison County, ID","United States",38273
"Minidoka County, ID","United States",20461
"Nez Perce County, ID","United States",40048
"Oneida County, ID","United States",4281
"Owyhee County, ID","United States",11310
"Payette County, ID","United States",22896
"Power County, ID","United States",7648
"Shoshone County, ID","United States",12432
"Teton County, ID","United States",10564
"Twin Falls County, ID","United States",82375
"Valley County, ID","United States",10103
"Washington County, ID","United States",9984
"Adams County, IL","United States",67013
"Alexander County, IL","United States",6780
"Bond County, IL","United States",16950
"Boone County, IL","United States",53585
"Brown County, IL","United States",6829
"Bureau County, IL","United States",33587
"Calhoun County, IL","United States",4899
"Carroll County, IL","United States",14616
"Cass County, IL","United States",12847
"Champaign County, IL","United States",208861
"Christian County, IL","United States",33642
"Clark County, IL","United States",15979
"Clay County, IL","United States",13428
"Clinton County, IL","United States",37786
"Coles County, IL","United States",52521
"Cook County, IL","United States",5238216
"Crawford County, IL","United States",19414
"Cumberland County, IL","United States",10898
"DeKalb County, IL","United States",104352
"De Witt County, IL","United States",16247
"Douglas County, IL","United States",19823
"DuPage County, IL","United States",933736
"Edgar County, IL","United States",17664
"Edwards County, IL","United States",6534
"Effingham County, IL","United States",34371
"Fayette County, IL","United States",22043
"Ford County, IL","United States",13736
"Franklin County, IL","United States",39485
"Fulton County, IL","United States",35699
"Gallatin County, IL","United States",5265
"Greene County, IL","United States",13241
"Grundy County, IL","United States",50541
"Hamilton County, IL","United States",8200
"Hancock County, IL","United States",18543
"Hardin County, IL","United States",4135
"Henderson County, IL","United States",6995
"Henry County, IL","United States",49489
"Iroquois County, IL","United States",28672
"Jackson County, IL","United States",59362
"Jasper County, IL","United States",9607
"Jefferson County, IL","United States",38353
"Jersey County, IL","United States",22372
"Jo Daviess County, IL","United States",22086
"Johnson County, IL","United States",12762
"Kane County, IL","United States",530847
"Kankakee County, IL","United States",110879
"Kendall County, IL","United States",123355
"Knox County, IL","United States",51441
"Lake County, IL","United States",703910
"LaSalle County, IL","United States",111333
"Lawrence County, IL","United States",16491
"Lee County, IL","United States",34584
"Livingston County, IL","United States",36671
"Logan County, IL","United States",29494
"McDonough County, IL","United States",31333
"McHenry County, IL","United States",307343
"McLean County, IL","United States",173166
"Macon County, IL","United States",107303
"Macoupin County, IL","United States",46045
"Madison County, IL","United States",266209
"Marion County, IL","United States",38339
"Marshall County, IL","United States",11982
"Mason County, IL","United States",13701
"Massac County, IL","United States",14766
"Menard County, IL","United States",12444
"Mercer County, IL","United States",15858
"Monroe County, IL","United States",33879
"Montgomery County, IL","United States",28898
"Morgan County, IL","United States",34828
"Moultrie County, IL","United States",14931
"Ogle County, IL","United States",51659
"Peoria County, IL","United States",186221
"Perry County, IL","United States",21543
"Piatt County, IL","United States",16387
"Pike County, IL","United States",15989
"Pope County, IL","United States",4226
"Pulaski County, IL","United States",5678
"Putnam County, IL","United States",5644
"Randolph County, IL","United States",32852
"Richland County, IL","United States",16029
"Rock Island County, IL","United States",146133
"St. Clair County, IL","United States",264052
"Saline County, IL","United States",24548
"Sangamon County, IL","United States",198712
"Schuyler County, IL","United States",7032
"Scott County, IL","United States",5092
"Shelby County, IL","United States",21775
"Stark County, IL","United States",5788
"Stephenson County, IL","United States",45749
"Tazewell County, IL","United States",134800
"Union County, IL","United States",17408
"Vermilion County, IL","United States",79282
"Wabash County, IL","United States",11542
"Warren County, IL","United States",17527
"Washington County, IL","United States",14270
"Wayne County, IL","United States",16423
"White County, IL","United States",14327
"Whiteside County, IL","United States",57079
"Will County, IL","United States",687263
"Williamson County, IL","United States",67466
"Winnebago County, IL","United States",287078
"Woodford County, IL","United States",39227
"Adams County, IN","United States",34980
"Allen County, IN","United States",368450
"Bartholomew County, IN","United States",81162
"Benton County, IN","United States",8681
"Blackford County, IN","United States",12298
"Boone County, IN","United States",63344
"Brown County, IN","United States",14977
"Carroll County, IN","United States",19856
"Cass County, IN","United States",37979
"Clark County, IN","United States",115371
"Clay County, IN","United States",26503
"Clinton County, IN","United States",32609
"Crawford County, IN","United States",10483
"Daviess County, IN","United States",32906
"Dearborn County, IN","United States",49455
"Decatur County, IN","United States",26521
"DeKalb County, IN","United States",42589
"Delaware County, IN","United States",116852
"Dubois County, IN","United States",42461
"Elkhart County, IN","United States",203474
"Fayette County, IN","United States",23434
"Floyd County, IN","United States",76778
"Fountain County, IN","United States",16591
"Franklin County, IN","United States",22872
"Fulton County, IN","United States",20315
"Gibson County, IN","United States",33775
"Grant County, IN","United States",67979
"Greene County, IN","United States",32441
"Hamilton County, IN","United States",309697
"Hancock County, IN","United States",72520
"Harrison County, IN","United States",39578
"Hendricks County, IN","United States",158192
"Henry County, IN","United States",48985
"Howard County, IN","United States",82556
"Huntington County, IN","United States",36630
"Jackson County, IN","United States",44069
"Jasper County, IN","United States",33470
"Jay County, IN","United States",21121
"Jefferson County, IN","United States",32416
"Jennings County, IN","United States",27897
"Johnson County, IN","United States",149633
"Knox County, IN","United States",37927
"Kosciusko County, IN","United States",78620
"LaGrange County, IN","United States",38809
"Lake County, IN","United States",487865
"LaPorte County, IN","United States",110884
"Lawrence County, IN","United States",45495
"Madison County, IN","United States",129723
"Marion County, IN","United States",939020
"Marshall County, IN","United States",46857
"Martin County, IN","United States",10226
"Miami County, IN","United States",35862
"Monroe County, IN","United States",144705
"Montgomery County, IN","United States",38227
"Morgan County, IN","United States",69648
"Newton County, IN","United States",14008
"Noble County, IN","United States",47733
"Ohio County, IN","United States",5938
"Orange County, IN","United States",19605
"Owen County, IN","United States",20872
"Parke County, IN","United States",16901
"Perry County, IN","United States",19347
"Pike County, IN","United States",12594
"Porter County, IN","United States",167688
"Posey County, IN","United States",25512
"Pulaski County, IN","United States",12889
"Putnam County, IN","United States",37585
"Randolph County, IN","United States",25172
"Ripley County, IN","United States",28701
"Rush County, IN","United States",16672
"St. Joseph County, IN","United States",268441
"Scott County, IN","United States",23744
"Shelby County, IN","United States",44478
"Spencer County, IN","United States",20715
"Starke County, IN","United States",22958
"Steuben County, IN","United States",34372
"Sullivan County, IN","United States",20928
"Switzerland County, IN","United States",10524
"Tippecanoe County, IN","United States",185826
"Tipton County, IN","United States",15267
"Union County, IN","United States",7182
"Vanderburgh County, IN","United States",181877
"Vermillion County, IN","United States",15692
"Vigo County, IN","United States",107896
"Wabash County, IN","United States",32138
"Warren County, IN","United States",8269
"Warrick County, IN","United States",61897
"Washington County, IN","United States",27827
"Wayne County, IN","United States",67001
"Wells County, IN","United States",27964
"White County, IN","United States",24293
"Whitley County, IN","United States",33406
"Adair County, IA","United States",7228
"Adams County, IA","United States",3796
"Allamakee County, IA","United States",13886
"Appanoose County, IA","United States",12529
"Audubon County, IA","United States",5773
"Benton County, IA","United States",25658
"Black Hawk County, IA","United States",133455
"Boone County, IA","United States",26643
"Bremer County, IA","United States",24722
"Buchanan County, IA","United States",21062
"Buena Vista County, IA","United States",20493
"Butler County, IA","United States",14915
"Calhoun County, IA","United States",9818
"Carroll County, IA","United States",20498
"Cass County, IA","United States",13427
"Cedar County, IA","United States",18340
"Cerro Gordo County, IA","United States",43017
"Cherokee County, IA","United States",11574
"Chickasaw County, IA","United States",12097
"Clarke County, IA","United States",9259
"Clay County, IA","United States",16507
"Clayton County, IA","United States",17644
"Clinton County, IA","United States",47768
"Crawford County, IA","United States",17094
"Dallas County, IA","United States",80133
"Davis County, IA","United States",8769
"Decatur County, IA","United States",8220
"Delaware County, IA","United States",17403
"Des Moines County, IA","United States",40055
"Dickinson County, IA","United States",17111
"Dubuque County, IA","United States",97125
"Emmet County, IA","United States",9769
"Fayette County, IA","United States",20257
"Floyd County, IA","United States",15960
"Franklin County, IA","United States",10295
"Fremont County, IA","United States",6906
"Greene County, IA","United States",9027
"Grundy County, IA","United States",12435
"Guthrie County, IA","United States",10676
"Hamilton County, IA","United States",15190
"Hancock County, IA","United States",10974
"Hardin County, IA","United States",17367
"Harrison County, IA","United States",14265
"Henry County, IA","United States",19950
"Howard County, IA","United States",9410
"Humboldt County, IA","United States",9555
"Ida County, IA","United States",7028
"Iowa County, IA","United States",16401
"Jackson County, IA","United States",19444
"Jasper County, IA","United States",36827
"Jefferson County, IA","United States",17555
"Johnson County, IA","United States",144251
"Jones County, IA","United States",20466
"Keokuk County, IA","United States",10163
"Kossuth County, IA","United States",15165
"Lee County, IA","United States",35089
"Linn County, IA","United States",219916
"Louisa County, IA","United States",11185
"Lucas County, IA","United States",8682
"Lyon County, IA","United States",11745
"Madison County, IA","United States",15753
"Mahaska County, IA","United States",22324
"Marion County, IA","United States",33294
"Marshall County, IA","United States",40746
"Mills County, IA","United States",14844
"Mitchell County, IA","United States",10832
"Monona County, IA","United States",8979
"Monroe County, IA","United States",7973
